state_name,state_code,year,month,population
República Mexicana,0,1950,1,26649792
República Mexicana,0,1950,2,26712588.833333332
República Mexicana,0,1950,3,26775385.666666668
República Mexicana,0,1950,4,26838182.5
República Mexicana,0,1950,5,26900979.333333332
República Mexicana,0,1950,6,26963776.166666668
República Mexicana,0,1950,7,27026573
República Mexicana,0,1950,8,27089226.782407407
República Mexicana,0,1950,9,27151646.48148148
República Mexicana,0,1950,10,27213910.125
República Mexicana,0,1950,11,27276095.74074074
República Mexicana,0,1950,12,27338281.356481485
República Mexicana,0,1951,1,27400545
República Mexicana,0,1951,2,27462964.699074075
República Mexicana,0,1951,3,27525618.48148148
República Mexicana,0,1951,4,27588584.375
República Mexicana,0,1951,5,27651940.407407407
República Mexicana,0,1951,6,27715764.60648148
República Mexicana,0,1951,7,27780135
República Mexicana,0,1951,8,27844970.40972222
República Mexicana,0,1951,9,27910134.055555556
República Mexicana,0,1951,10,27975620.5625
República Mexicana,0,1951,11,28041424.555555552
República Mexicana,0,1951,12,28107540.65972222
República Mexicana,0,1952,1,28173963.5
República Mexicana,0,1952,2,28240687.70138889
República Mexicana,0,1952,3,28307707.888888888
República Mexicana,0,1952,4,28375018.6875
República Mexicana,0,1952,5,28442614.722222224
República Mexicana,0,1952,6,28510490.618055556
República Mexicana,0,1952,7,28578641
República Mexicana,0,1952,8,28647038.145833336
República Mexicana,0,1952,9,28715670.27777778
República Mexicana,0,1952,10,28784555.9375
República Mexicana,0,1952,11,28853713.666666664
República Mexicana,0,1952,12,28923162.006944448
República Mexicana,0,1953,1,28992919.5
República Mexicana,0,1953,2,29063004.687500004
República Mexicana,0,1953,3,29133436.111111112
República Mexicana,0,1953,4,29204232.3125
República Mexicana,0,1953,5,29275411.833333336
República Mexicana,0,1953,6,29346993.215277776
República Mexicana,0,1953,7,29418995
República Mexicana,0,1953,8,29491346.701678235
República Mexicana,0,1953,9,29563983.23842592
República Mexicana,0,1953,10,29636931.2578125
República Mexicana,0,1953,11,29710217.407407403
República Mexicana,0,1953,12,29783868.334780093
República Mexicana,0,1954,1,29857910.6875
República Mexicana,0,1954,2,29932371.113136575
República Mexicana,0,1954,3,30007276.259259257
República Mexicana,0,1954,4,30082652.7734375
República Mexicana,0,1954,5,30158527.30324074
República Mexicana,0,1954,6,30234926.496238425
República Mexicana,0,1954,7,30311877
República Mexicana,0,1954,8,30389410.72743056
República Mexicana,0,1954,9,30467518.916666668
República Mexicana,0,1954,10,30546167.203125
República Mexicana,0,1954,11,30625321.22222222
República Mexicana,0,1954,12,30704946.609375
República Mexicana,0,1955,1,30785009
República Mexicana,0,1955,2,30865474.02951389
República Mexicana,0,1955,3,30946307.333333336
República Mexicana,0,1955,4,31027474.546875
República Mexicana,0,1955,5,31108941.305555556
República Mexicana,0,1955,6,31190673.244791668
República Mexicana,0,1955,7,31272636
República Mexicana,0,1955,8,31354873.657696757
República Mexicana,0,1955,9,31437451.761574075
República Mexicana,0,1955,10,31520368.1328125
República Mexicana,0,1955,11,31603620.592592593
República Mexicana,0,1955,12,31687206.96209491
República Mexicana,0,1956,1,31771125.0625
República Mexicana,0,1956,2,31855372.71498842
República Mexicana,0,1956,3,31939947.740740743
República Mexicana,0,1956,4,32024847.9609375
República Mexicana,0,1956,5,32110071.196759257
República Mexicana,0,1956,6,32195615.269386575
República Mexicana,0,1956,7,32281478
República Mexicana,0,1956,8,32367662.064236112
República Mexicana,0,1956,9,32454171.541666664
República Mexicana,0,1956,10,32541006.359375
República Mexicana,0,1956,11,32628166.444444444
República Mexicana,0,1956,12,32715651.723958332
República Mexicana,0,1957,1,32803462.125
República Mexicana,0,1957,2,32891597.57465278
República Mexicana,0,1957,3,32980058
República Mexicana,0,1957,4,33068843.328125
República Mexicana,0,1957,5,33157953.486111112
República Mexicana,0,1957,6,33247388.401041664
República Mexicana,0,1957,7,33337148
República Mexicana,0,1957,8,33427224.783275466
República Mexicana,0,1957,9,33517614.05787037
República Mexicana,0,1957,10,33608319.9609375
República Mexicana,0,1957,11,33699346.62962963
República Mexicana,0,1957,12,33790698.20109954
República Mexicana,0,1958,1,33882378.8125
República Mexicana,0,1958,2,33974392.60098379
República Mexicana,0,1958,3,34066743.70370371
República Mexicana,0,1958,4,34159436.2578125
República Mexicana,0,1958,5,34252474.40046296
República Mexicana,0,1958,6,34345862.268807866
República Mexicana,0,1958,7,34439604
República Mexicana,0,1958,8,34533712.20949074
República Mexicana,0,1958,9,34628190.41203704
República Mexicana,0,1958,10,34723029.09375
República Mexicana,0,1958,11,34818218.74074074
República Mexicana,0,1958,12,34913749.839120366
República Mexicana,0,1959,1,35009612.875
República Mexicana,0,1959,2,35105798.33449074
República Mexicana,0,1959,3,35202296.7037037
República Mexicana,0,1959,4,35299098.46875
República Mexicana,0,1959,5,35396194.115740746
República Mexicana,0,1959,6,35493574.13078704
República Mexicana,0,1959,7,35591229
República Mexicana,0,1959,8,35689168.7884838
República Mexicana,0,1959,9,35787410.2800926
República Mexicana,0,1959,10,35885954.0390625
República Mexicana,0,1959,11,35984800.62962963
República Mexicana,0,1959,12,36083950.6160301
República Mexicana,0,1960,1,36183404.5625
República Mexicana,0,1960,2,36283163.03327546
República Mexicana,0,1960,3,36383226.59259259
República Mexicana,0,1960,4,36483595.8046875
República Mexicana,0,1960,5,36584271.2337963
República Mexicana,0,1960,6,36685253.4441551
República Mexicana,0,1960,7,36786543
República Mexicana,0,1960,8,36888148.285590276
República Mexicana,0,1960,9,36990074.020833336
República Mexicana,0,1960,10,37092315.2734375
República Mexicana,0,1960,11,37194867.111111104
República Mexicana,0,1960,12,37297724.6015625
República Mexicana,0,1961,1,37400882.8125
República Mexicana,0,1961,2,37504336.81163195
República Mexicana,0,1961,3,37608081.666666664
República Mexicana,0,1961,4,37712112.4453125
República Mexicana,0,1961,5,37816424.215277776
República Mexicana,0,1961,6,37921012.044270836
República Mexicana,0,1961,7,38025871
República Mexicana,0,1961,8,38131034.527777776
República Mexicana,0,1961,9,38236529.291666664
República Mexicana,0,1961,10,38342340.1875
República Mexicana,0,1961,11,38448452.11111111
República Mexicana,0,1961,12,38554849.958333336
República Mexicana,0,1962,1,38661518.625
República Mexicana,0,1962,2,38768443.00694444
República Mexicana,0,1962,3,38875607.99999999
República Mexicana,0,1962,4,38982998.5
República Mexicana,0,1962,5,39090599.402777776
República Mexicana,0,1962,6,39198395.604166664
República Mexicana,0,1962,7,39306372
República Mexicana,0,1962,8,39414528.43865741
República Mexicana,0,1962,9,39522881.30092593
República Mexicana,0,1962,10,39631440.28125
República Mexicana,0,1962,11,39740215.07407407
República Mexicana,0,1962,12,39849215.3738426
República Mexicana,0,1963,1,39958450.875
República Mexicana,0,1963,2,40067931.27199074
República Mexicana,0,1963,3,40177666.25925926
República Mexicana,0,1963,4,40287665.53125
